"scaffold","start","end","mid","sites","l_bel","l_xin","l_tap","S_bel","S_xin","S_tap","thetaPi_bel","thetaPi_xin","thetaPi_tap","thetaW_bel","thetaW_xin","thetaW_tap","TajD_bel","TajD_xin","TajD_tap","pi_bel","pi_xin","pi_tap","dxy_bel_xin","dxy_bel_tap","dxy_xin_tap","Fst_bel_xin","Fst_bel_tap","Fst_xin_tap","ABBA","BABA","D","fd","fdM","topo1","topo2","topo3","recombRate","cds_porp","GC"
"chr1",1700001,1800000,1752157,2115,2115,2115,2115,1587,1528,1366,572.2889,487.8901,432.902,560.9819,480.4829,397.1447,0.1012,0.0699,0.3854,0.2706,0.2307,0.2047,0.2509,0.24,0.2165,0.0006,0.0048,-0.0028,39.6825,35.6175,0.054,0.0858,0.0615,1604.95238095238,1734.52380952381,1700.52380952381,1.95330416415086E-09,"NA","NA"
"chr1",1800001,1900000,1852310,2181,2181,2181,2181,1677,1643,1388,609.7111,540.1758,456.8693,592.7956,516.6449,403.5409,0.1433,0.2066,0.5657,0.2796,0.2477,0.2095,0.262,0.2462,0.2275,-0.0032,0.0034,-0.0024,41.4623,35.4782,0.0778,0.1287,0.0926,1712.40909090909,1771.18181818182,1556.40909090909,2.0097161272999E-09,"NA","NA"
"chr1",1900001,2000000,1946594,2099,2099,2099,2099,1647,1578,1421,607.1111,526.956,478.3987,582.1911,496.2055,413.1351,0.2149,0.2811,0.6762,0.2892,0.2511,0.2279,0.267,0.2613,0.2368,-0.006,0.0052,-0.0057,48.5722,41.0302,0.0842,0.1474,0.1054,1545.2380952381,1775.85714285714,1718.90476190476,1.87158971561134E-09,"NA","NA"
"chr1",2000001,2100000,2050673,2095,2095,2095,2095,1523,1530,1296,533.7111,475.0879,407.6078,538.3588,481.1118,376.7932,-0.0433,-0.0568,0.35,0.2548,0.2268,0.1946,0.2395,0.227,0.2103,-0.0026,0.0052,-0.001,34.421,29.2679,0.0809,0.1334,0.0907,1610,1713.14285714286,1716.85714285714,1.91410873886387E-09,"NA","NA"
"chr1",2100001,2200000,2151742,2136,2136,2136,2136,1608,1573,1398,571.4444,507.2418,460.5948,568.4051,494.6333,406.4482,0.0268,0.1156,0.5702,0.2675,0.2375,0.2156,0.2492,0.2433,0.2229,-0.0068,0.0035,-0.0082,38.4401,35.7115,0.0368,0.0711,0.0464,1715.71428571429,1724.14285714286,1600.14285714286,2.00738351726905E-09,"NA","NA"
"chr1",2200001,2300000,2251439,2237,2237,2237,2237,1706,1619,1479,617.7778,536.3516,484.085,603.0467,509.0981,429.9978,0.1226,0.2428,0.5385,0.2762,0.2398,0.2164,0.255,0.2491,0.2275,-0.0059,0.0055,-0.0013,41.3258,35.0282,0.0825,0.151,0.098,1679.08695652174,1739.13043478261,1621.78260869565,2.06132151525408E-09,"NA","NA"
"chr1",2300001,2400000,2348647,2003,2003,2003,2003,1534,1524,1315,557.0667,485.4066,422.3987,542.2472,479.2251,382.3172,0.1372,0.0585,0.4487,0.2781,0.2423,0.2109,0.2571,0.2459,0.2257,-0.0062,0.0029,-0.0021,41.425,36.5528,0.0625,0.112,0.0771,1605.05,1761.15,1673.8,1.84238694670321E-09,"NA","NA"
"chr1",2400001,2500000,2448797,2010,2010,2010,2010,1511,1468,1329,545.9111,484.1429,439.8366,534.117,461.6158,386.3875,0.1109,0.2213,0.5921,0.2716,0.2409,0.2188,0.2522,0.2438,0.2273,-0.0082,-0.0028,-0.0056,38.6698,34.8627,0.0518,0.0994,0.0674,1543.05,1733.8,1763.15,2.02980349278954E-09,"NA","NA"
"chr1",2500001,2600000,2550843,2169,2169,2169,2169,1602,1577,1408,580.2444,510.7033,456.0261,566.2842,495.8911,409.3556,0.1238,0.1355,0.488,0.2675,0.2355,0.2102,0.248,0.2401,0.2228,-0.0073,0.0025,-0.0001,42.4567,36.1909,0.0797,0.1424,0.0973,1535.63636363636,1844.63636363636,1659.72727272727,2.01976827967047E-09,"NA","NA"
"chr1",2600001,2700000,2648664,2175,2175,2175,2175,1642,1607,1404,596.5111,529.8022,463.1438,580.4236,505.3247,408.1926,0.1391,0.2197,0.5762,0.2743,0.2436,0.2129,0.2566,0.2455,0.227,-0.0046,0.0039,-0.0028,38.0655,31.9337,0.0876,0.1363,0.0989,1566.38095238095,1764.61904761905,1709,2.13999958210216E-09,"NA","NA"
"chr1",2700001,2800000,2751967,2032,2032,2032,2032,1540,1515,1337,553.6889,499.6044,439.8366,544.3681,476.3951,388.7134,0.086,0.221,0.5629,0.2725,0.2459,0.2165,0.2551,0.2484,0.231,-0.0082,0.0079,-0.0005,43.271,35.4964,0.0987,0.1771,0.1177,1636.28571428571,1798.04761904762,1605.66666666667,1.93133520663197E-09,"NA","NA"
"chr1",2800001,2900000,2849428,2010,2010,2010,2010,1499,1446,1286,517.8222,445.0769,405.7778,529.8752,454.6979,373.8858,-0.1142,-0.096,0.3651,0.2576,0.2214,0.2019,0.2373,0.2337,0.2117,-0.0047,0.0085,0.0002,32.6111,31.3897,0.0191,0.0352,0.021,1637.6,1625.55,1776.85,1.97855716690028E-09,"NA","NA"
"chr1",2900001,3000000,2951067,1923,1923,1923,1923,1415,1396,1240,507.6667,438.8132,411.2092,500.1824,438.9752,360.512,0.0751,-0.0017,0.6018,0.264,0.2282,0.2138,0.2455,0.2425,0.2211,-0.0012,0.0074,0.0001,37.0996,37.8266,-0.0097,-0.0185,-0.0112,1699.36842105263,1685,1655.63157894737,8.4471310822023E-10,"NA","NA"
"chr1",3000001,3100000,3048321,2017,2017,2017,2017,1487,1413,1246,523.1778,446.9451,397.0065,525.6333,444.3209,362.2564,-0.0235,0.0268,0.4105,0.2594,0.2216,0.1968,0.2412,0.231,0.2081,0.0016,0.0063,-0.0026,38.1738,34.7365,0.0471,0.0769,0.0549,1581.65,1786.3,1672.05,1.049239362234E-09,"NA","NA"
"chr1",3100001,3200000,3150043,2193,2193,2193,2193,1628,1559,1448,572.4,507.6813,459.9346,575.4748,490.231,420.985,-0.0268,0.1615,0.3961,0.261,0.2315,0.2097,0.2455,0.2377,0.218,-0.0016,0.0048,-0.0061,40.4671,34.5091,0.0795,0.138,0.0946,1733.22727272727,1777.63636363636,1529.13636363636,1.94333453847846E-09,"NA","NA"
"chr1",3200001,3300000,3249257,1784,1784,1784,1784,1268,1281,1073,437.6222,390.6703,326.7059,448.2199,402.8132,311.9592,-0.1187,-0.1367,0.2023,0.2453,0.219,0.1831,0.231,0.2187,0.1998,-0.0025,0.0102,-0.0033,28.7925,23.0726,0.1103,0.1653,0.1181,1683.88888888889,1784.38888888889,1571.72222222222,2.01546287267498E-09,"NA","NA"
"chr1",3300001,3400000,3351050,1670,1670,1670,1670,1234,1160,973,440.7556,354.8022,292.2876,436.2014,364.7645,282.8856,0.0524,-0.1238,0.1422,0.2639,0.2125,0.175,0.2347,0.2263,0.1927,-0.0075,0.0155,-0.0027,35.7675,26.8333,0.1427,0.2099,0.1548,1575.17647058824,1783.41176470588,1681.41176470588,2.03615879954957E-09,"NA","NA"
"chr1",3400001,3500000,3448248,1637,1637,1637,1637,1174,1125,998,421.9778,339.6703,297.5163,414.9923,353.7587,290.154,0.0845,-0.1806,0.1085,0.2578,0.2075,0.1817,0.2287,0.2216,0.1916,-0.0088,0.0041,-0.008,30.4548,28.2016,0.0384,0.063,0.0448,1546.5625,1783.5625,1709.875,1.96588593922606E-09,"NA","NA"
"chr1",3500001,3600000,3547657,1790,1790,1790,1790,1315,1274,1114,476.1111,398.978,351.8105,464.8338,400.6121,323.8793,0.1218,-0.0185,0.369,0.266,0.2229,0.1965,0.241,0.2323,0.2099,-0.0074,0.0023,0.0005,33.181,30.5032,0.042,0.0763,0.0498,1626.94444444444,1750.05555555556,1663,1.89280032870866E-09,"NA","NA"
"chr1",3600001,3700000,3651621,1707,1707,1707,1707,1316,1261,1034,484.1333,403.3626,353.2288,465.1873,396.5242,300.6205,0.2044,0.0782,0.7487,0.2836,0.2363,0.2069,0.2574,0.2476,0.2205,-0.0052,0.0048,-0.0027,32.569,30.0008,0.041,0.0676,0.0457,1629.82352941176,1731.47058823529,1678.70588235294,2.04448573505E-09,"NA","NA"
"chr1",3700001,3800000,3751690,1639,1639,1639,1639,1195,1088,958,424.9333,340.6484,304.2876,422.4155,342.124,278.5246,0.0299,-0.0196,0.3957,0.2593,0.2078,0.1857,0.2319,0.2258,0.1968,-0.0037,0.0075,0.0001,27.0825,21.3111,0.1193,0.1616,0.1195,1570.4375,1834.625,1634.9375,1.87907436143403E-09,"NA","NA"
"chr1",3800001,3900000,3852840,1626,1626,1626,1626,1193,1202,991,429.2889,398.0549,327.3399,421.7085,377.9715,288.1189,0.0902,0.2409,0.5823,0.264,0.2448,0.2013,0.2531,0.2412,0.2212,-0.0026,0.0179,-0.0044,32.9675,21.6151,0.208,0.2754,0.2139,1738.58823529412,1777.64705882353,1523.76470588235,1.90188126951204E-09,"NA","NA"
"chr1",3900001,4000000,3952446,2025,2025,2025,2025,1536,1485,1284,541.2222,456.3297,424.0458,542.9541,466.9615,373.3044,-0.016,-0.1033,0.5817,0.2673,0.2253,0.2094,0.245,0.2402,0.2162,-0.0026,0.0039,-0.0027,36.8103,41.4405,-0.0592,-0.1171,-0.0694,1469.3,1825.1,1745.6,1.4649009841685E-09,"NA","NA"
"chr1",4000001,4100000,4051392,1850,1850,1850,1850,1330,1304,1149,461.6222,399.2747,360.8235,470.1361,410.0456,334.0551,-0.0909,-0.1191,0.3429,0.2495,0.2158,0.195,0.2305,0.2256,0.2059,-0.0049,0.0073,0.0013,28.6175,25.7317,0.0531,0.0866,0.0615,1594.38888888889,1764.5,1681.11111111111,1.88598757871371E-09,"NA","NA"
"chr1",4100001,4200000,4150372,2019,2019,2019,2019,1476,1505,1293,531.5333,481.1978,415.7843,521.745,473.2505,375.921,0.0942,0.0762,0.4539,0.2633,0.2383,0.2059,0.2462,0.237,0.2204,-0.0094,0.0051,-0.004,35.6984,29.4302,0.0962,0.1619,0.1114,1657.33333333333,1781.57142857143,1601.09523809524,1.96268800881101E-09,"NA","NA"
"chr1",4200001,4300000,4248189,1940,1940,1940,1940,1467,1425,1312,543.8889,475.1099,431.9346,518.5636,448.0944,381.445,0.2452,0.2734,0.5665,0.2804,0.2449,0.2226,0.2578,0.2559,0.2319,-0.0095,0.0086,-0.004,37.7976,31.3698,0.0929,0.168,0.1111,1548.73684210526,1775,1716.26315789474,1.93827128772894E-09,"NA","NA"
"chr1",4300001,4400000,4348722,1807,1807,1807,1807,1291,1225,1078,454.1333,371.8791,339.7255,456.3501,385.2039,313.4129,-0.0244,-0.1568,0.3592,0.2513,0.2058,0.188,0.2255,0.2268,0.2017,-0.0069,0.0159,0.0122,35.7921,26.6484,0.1464,0.2398,0.1585,1586.38888888889,1800.77777777778,1652.83333333333,1.69852997788977E-09,"NA","NA"
"chr1",4400001,4500000,4451641,1848,1848,1848,1848,1369,1300,1190,472.4222,418.7363,366.0588,483.922,408.7878,345.9752,-0.1193,0.1104,0.2484,0.2556,0.2266,0.1981,0.2427,0.2377,0.2148,0.0033,0.023,0.0059,37.9329,30.3933,0.1103,0.1618,0.1123,1572.52631578947,1863.26315789474,1604.21052631579,1.96193500484312E-09,"NA","NA"
"chr1",4500001,4600000,4548239,1904,1904,1904,1904,1345,1399,1137,467.8444,442.6374,362.5163,475.4384,439.9186,330.5663,-0.0802,0.028,0.4136,0.2457,0.2325,0.1904,0.2369,0.2274,0.2133,-0.0048,0.0207,0.0046,36.8726,27.5409,0.1449,0.2411,0.1539,1706.52631578947,1762.89473684211,1570.57894736842,1.7446014041699E-09,"NA","NA"
"chr1",4600001,4700000,4647824,1755,1755,1755,1755,1245,1181,1058,424.8889,331.989,309.0261,440.0898,371.368,307.5982,-0.1734,-0.4808,0.0199,0.2421,0.1892,0.1761,0.2129,0.2122,0.186,-0.0067,0.0074,0.0094,28.8734,28.5353,0.0059,0.0101,0.006,1449,1883.70588235294,1707.29411764706,1.31796370008769E-09,"NA","NA"
"chr1",4700001,4800000,4749078,1820,1820,1820,1820,1347,1270,1123,472.1111,400.033,369.1503,476.1453,399.3543,326.496,-0.0425,0.0077,0.559,0.2594,0.2198,0.2028,0.2366,0.2301,0.2095,-0.0064,-0.0022,-0.0044,32.7548,35.7976,-0.0444,-0.0961,-0.0559,1652.94444444444,1630.61111111111,1756.44444444444,1.80249175509589E-09,"NA","NA"
"chr1",4800001,4900000,4847902,1909,1909,1909,1909,1492,1392,1180,522.5111,456.8132,405.3268,527.4008,437.7174,343.0679,-0.0465,0.1978,0.7766,0.2737,0.2393,0.2123,0.2634,0.2468,0.2262,0.0136,0.0077,0.001,33.8087,32.1246,0.0255,0.0402,0.0275,1604.73684210526,1764.21052631579,1671.05263157895,2.01639478184092E-09,"NA","NA"
"chr1",4900001,5000000,4952127,1994,1994,1994,1994,1464,1446,1318,522.1778,484.2637,431.9412,517.5032,454.6979,383.1894,0.0453,0.2949,0.5445,0.2619,0.2429,0.2166,0.254,0.2439,0.2253,0.0032,0.0095,-0.0101,33.3873,26.0643,0.1232,0.1765,0.1343,1710.15,1783.5,1546.35,1.75752555239229E-09,"NA","NA"
"chr1",5000001,5100000,5049176,1966,1966,1966,1966,1482,1421,1217,538.3556,442.7802,402.9869,523.8659,446.8366,353.8251,0.1388,-0.0412,0.5946,0.2738,0.2252,0.205,0.2541,0.2451,0.2195,0.0094,0.0117,0.0103,36.1746,34.4794,0.024,0.041,0.0264,1604,1809.9,1626.1,1.90750159633533E-09,"NA","NA"
"chr1",5100001,5200000,5149106,2127,2127,2127,2127,1584,1510,1431,597.8,492.978,464.7059,559.9214,474.8228,416.0425,0.3396,0.1734,0.5007,0.2811,0.2318,0.2185,0.2617,0.2548,0.2254,0.0105,0.0098,0.0007,44.9948,42.6171,0.0271,0.0409,0.0289,1576.19047619048,1804.09523809524,1659.71428571429,1.99509171213938E-09,"NA","NA"
"chr1",5200001,5300000,5251860,1643,1643,1643,1643,1135,1180,1003,393.8222,361.3407,306.5229,401.2063,371.0536,291.6077,-0.0924,-0.1187,0.2188,0.2397,0.2199,0.1866,0.2356,0.2168,0.2074,0.0128,0.0084,0.0104,32.5313,23.006,0.1715,0.2212,0.1714,1721.88235294118,1710.52941176471,1607.58823529412,1.46722545835196E-09,"NA","NA"
"chr1",5300001,5400000,5352690,1916,1916,1916,1916,1399,1270,1154,493,408.3736,356.7712,494.5266,399.3543,335.5088,-0.0155,0.1024,0.2712,0.2573,0.2131,0.1862,0.2317,0.2215,0.1981,-0.0077,-0.0006,-0.0042,30.1667,23.1302,0.132,0.2008,0.157,1615.68421052632,1836.63157894737,1587.68421052632,1.98879648548317E-09,"NA","NA"
"chr1",5400001,5500000,5448042,2117,2117,2117,2117,1549,1521,1297,546.6667,468.4176,425.5556,547.5494,478.2818,377.0839,-0.0081,-0.0935,0.5502,0.2582,0.2213,0.201,0.2384,0.2311,0.2112,-0.0029,0.0031,0.0001,34.8992,42.796,-0.1016,-0.2701,-0.1249,1666.28571428571,1618.14285714286,1755.57142857143,1.85165722327822E-09,"NA","NA"
"chr1",5500001,5600000,5548659,1884,1884,1884,1884,1384,1261,1102,464.9111,369.8462,316.6797,489.2243,396.5242,320.3905,-0.2495,-0.3051,-0.0496,0.2468,0.1963,0.1681,0.2185,0.2089,0.1833,-0.0071,0.0035,0.003,32.1655,31.0393,0.0178,0.0326,0.0197,1526.05263157895,1830.84210526316,1683.10526315789,1.07819346626798E-09,"NA","NA"
"chr1",5600001,5700000,5651466,1765,1765,1765,1765,1350,1270,1139,474.6667,393.3846,367.549,477.2058,399.3543,331.1477,-0.0267,-0.0678,0.4704,0.2689,0.2229,0.2082,0.2429,0.2444,0.2174,-0.0062,0.0119,0.0043,38.55,33.2143,0.0744,0.1319,0.0857,1552.05555555556,1876.5,1611.44444444444,1.98797806095778E-09,"NA","NA"
"chr1",5700001,5800000,5751352,1829,1829,1829,1829,1397,1318,1094,486.2222,401.1868,333.902,493.8196,414.448,318.0646,-0.0772,-0.1451,0.2131,0.2658,0.2193,0.1826,0.2364,0.2256,0.1988,-0.0133,0.0031,-0.0055,34.4917,29.7274,0.0742,0.1335,0.0914,1629.5,1768.27777777778,1642.22222222222,1.57364876747838E-09,"NA","NA"
"chr1",5800001,5900000,5849331,1843,1843,1843,1843,1369,1273,1103,485.8444,375.2088,313.7451,483.922,400.2976,320.6812,0.0199,-0.2842,-0.0925,0.2636,0.2036,0.1702,0.2305,0.2232,0.1893,-0.0069,0.0144,0.0066,39.8488,29.3107,0.1524,0.2185,0.1658,1453.27777777778,1912.55555555556,1674.16666666667,1.39286698407944E-09,"NA","NA"
"chr1",5900001,6000000,5951998,1598,1598,1598,1598,1173,1094,936,406.6667,328.3846,293.3529,414.6388,344.0107,272.1284,-0.0965,-0.2059,0.3336,0.2545,0.2055,0.1836,0.2281,0.2217,0.1933,-0.0043,0.0061,-0.0033,26.6742,24.8988,0.0344,0.0547,0.0383,1582.4375,1717.875,1739.6875,1.916546572521E-09,"NA","NA"
"chr1",6000001,6100000,6048533,1754,1754,1754,1754,1293,1274,1096,464.4444,388.1538,339.0784,457.0571,400.6121,318.6461,0.0811,-0.141,0.2744,0.2648,0.2213,0.1933,0.2405,0.2388,0.2135,-0.0053,0.0208,0.0151,37.1496,29.3766,0.1168,0.1871,0.1156,1600.88888888889,1816.55555555556,1622.55555555556,1.96961899978807E-09,"NA","NA"
"chr1",6100001,6200000,6149093,1843,1843,1843,1843,1368,1304,1102,494.7111,402,332.7582,483.5685,410.0456,320.3905,0.1157,-0.089,0.1652,0.2684,0.2181,0.1806,0.2414,0.2283,0.1986,-0.0039,0.0085,-0.002,39.3373,27.6722,0.1741,0.2481,0.1987,1640.88888888889,1820.05555555556,1579.05555555556,1.99754072737138E-09,"NA","NA"
"chr1",6200001,6300000,6251710,1704,1704,1704,1704,1258,1179,1004,442.5778,351.0659,306.8366,444.6851,370.7391,291.8984,-0.0238,-0.2406,0.2189,0.2597,0.206,0.1801,0.2295,0.2239,0.1922,-0.0077,0.0091,-0.0021,28.3833,26.6048,0.0323,0.0523,0.0363,1520.58823529412,1722.88235294118,1796.52941176471,2.040426489591E-09,"NA","NA"
"chr1",6300001,6400000,6351068,1673,1673,1673,1673,1143,1147,987,391.5111,335.6923,287.7124,404.0342,360.6767,286.9559,-0.1555,-0.3141,0.0113,0.234,0.2007,0.172,0.2158,0.2066,0.184,-0.0035,0.0087,-0.0065,25.8615,22.4655,0.0703,0.1091,0.0755,1663.52941176471,1742.88235294118,1633.58823529412,1.87390213205174E-09,"NA","NA"
"chr1",6400001,6500000,6447563,1946,1946,1946,1946,1392,1383,1220,495.5556,414.978,387.2418,492.0522,434.8874,354.6973,0.0357,-0.2076,0.3927,0.2547,0.2132,0.199,0.2371,0.2319,0.2041,0.0068,0.011,-0.0051,32.0901,32.4028,-0.0048,-0.0079,-0.0053,1616.52631578947,1752.94736842105,1670.52631578947,2.08692907406064E-09,"NA","NA"
"chr1",6500001,6600000,6550727,1757,1757,1757,1757,1336,1264,1110,489.9111,403.4505,347.6013,472.257,397.4676,322.7164,0.1876,0.0683,0.3299,0.2788,0.2296,0.1978,0.2519,0.2457,0.2143,-0.0048,0.0152,0.0014,34.1857,27.0119,0.1172,0.1698,0.1303,1628.16666666667,1732.94444444444,1678.88888888889,1.7936811747597E-09,"NA","NA"
"chr1",6600001,6700000,6647123,1700,1700,1700,1700,1230,1146,1008,417.5556,341.5055,282.732,434.7875,360.3622,293.0614,-0.1989,-0.2372,-0.1508,0.2456,0.2009,0.1663,0.225,0.21,0.184,0.0041,0.0097,0.0011,32.1869,25.9194,0.1079,0.1357,0.1051,1520.11764705882,1794.52941176471,1725.35294117647,1.96532035180426E-09,"NA","NA"
"chr1",6700001,6800000,6752063,1702,1702,1702,1702,1055,1122,935,299.4889,260.8791,219.4771,372.9275,352.8153,271.8377,-0.9882,-1.1814,-0.8239,0.176,0.1533,0.129,0.164,0.1572,0.1412,-0.0019,0.0152,0.0002,18.1429,16.5437,0.0461,0.062,0.0384,1506.23529411765,1817.05882352941,1716.70588235294,2.04698656937155E-09,"NA","NA"
"chr1",6800001,6900000,6849824,1667,1667,1667,1667,1181,1125,910,370.4,318.5604,248.1307,417.4667,353.7587,264.5693,-0.5658,-0.4511,-0.2657,0.2222,0.1911,0.1488,0.2065,0.1868,0.1682,-0.0004,0.0035,-0.0054,28.4881,22.3841,0.12,0.1766,0.1379,1684.64705882353,1757.17647058824,1598.17647058824,6.8273993328173E-10,"NA","NA"
"chr1",6900001,7000000,6948195,1824,1824,1824,1824,1374,1268,1095,480.2889,412.2198,360.1176,485.6894,398.7254,318.3554,-0.0558,0.1535,0.5613,0.2633,0.226,0.1974,0.2441,0.2298,0.2106,-0.0011,-0.0011,-0.0028,38.7548,38.6032,0.002,0.0039,0.0025,1553.66666666667,1719.94444444444,1766.38888888889,1.98165312802802E-09,"NA","NA"
